#time =  3.8000250E+02
#  y  y+  u  u+  v+  w+ uu+ vv+ ww+ uv+


#x =  1.0000000E+00
  1.711440742E-01  1.516953243E+02  7.398725296E-01  1.820882338E+01  1.713810382E-02  4.692659961E-02  2.385224486E+00  1.050542433E+00  1.483297225E+00 -8.164977906E-01
  1.777364365E-01  1.575385330E+02  7.445390492E-01  1.832366996E+01  1.745865083E-02  3.936152869E-02  2.357452292E+00  1.056472488E+00  1.468579557E+00 -8.148315424E-01
  1.845692172E-01  1.635948390E+02  7.492092510E-01  1.843860716E+01  1.779416116E-02  3.129421442E-02  2.332968918E+00  1.060865598E+00  1.449682796E+00 -8.137099928E-01
  1.916508245E-01  1.698716950E+02  7.538563022E-01  1.855297461E+01  1.812629172E-02  2.306821812E-02  2.312338285E+00  1.062969353E+00  1.428979604E+00 -8.133345707E-01
  1.989899338E-01  1.763767906E+02  7.584887554E-01  1.866698280E+01  1.849232646E-02  1.473755379E-02  2.295443213E+00  1.062139656E+00  1.410974629E+00 -8.128095840E-01
  2.065954936E-01  1.831180574E+02  7.631591465E-01  1.878192466E+01  1.896742619E-02  5.854946852E-03  2.279818145E+00  1.058054007E+00  1.400712184E+00 -8.106394072E-01
  2.144767323E-01  1.901036750E+02  7.679570576E-01  1.890000488E+01  1.960672163E-02 -4.570951805E-03  2.259858772E+00  1.050887674E+00  1.401093382E+00 -8.058398858E-01
  2.226431641E-01  1.973420765E+02  7.729876244E-01  1.902381095E+01  2.037061472E-02 -1.768323373E-02  2.230501134E+00  1.041336684E+00  1.410296257E+00 -7.990469631E-01
  2.311045957E-01  2.048419541E+02  7.783455659E-01  1.915567394E+01  2.109881915E-02 -3.349557054E-02  2.201547319E+00  1.030285198E+00  1.422110799E+00 -7.921551465E-01
  2.398711325E-01  2.126122649E+02  7.839326339E-01  1.929317592E+01  2.148083735E-02 -5.154950445E-02  2.197194592E+00  1.018050556E+00  1.438987759E+00 -7.908506921E-01
  2.489531845E-01  2.206622358E+02  7.894834678E-01  1.942978615E+01  2.161357101E-02 -6.806173791E-02  2.174182878E+00  1.003296464E+00  1.452716087E+00 -7.947873410E-01
  2.583614725E-01  2.290013694E+02  7.951283959E-01  1.956871210E+01  2.181827523E-02 -7.848396131E-02  2.151830213E+00  9.883337527E-01  1.452584400E+00 -7.962564825E-01
  2.681070340E-01  2.376394489E+02  8.008795339E-01  1.971025196E+01  2.218571777E-02 -8.259833464E-02  2.136491967E+00  9.753447654E-01  1.436581838E+00 -7.946301295E-01
  2.782012288E-01  2.465865431E+02  8.067060364E-01  1.985364660E+01  2.275710831E-02 -8.102820195E-02  2.124478175E+00  9.652077627E-01  1.405239623E+00 -7.901576131E-01
  2.886557447E-01  2.558530116E+02  8.125584613E-01  1.999767922E+01  2.353383681E-02 -7.474590768E-02  2.109044859E+00  9.576770062E-01  1.362948410E+00 -7.831853203E-01
  2.994826028E-01  2.654495095E+02  8.183948433E-01  2.014131700E+01  2.449275954E-02 -6.474225230E-02  2.085361682E+00  9.516916535E-01  1.317809686E+00 -7.736727529E-01
  3.106941622E-01  2.753869915E+02  8.242045475E-01  2.028429822E+01  2.560476748E-02 -5.194705928E-02  2.052584396E+00  9.457954943E-01  1.279700628E+00 -7.611558941E-01
